,years_exp
2034,5
4159,2
4991,1
1056,7
4435,2
1446,3
3805,3
2562,4
3273,3
760,10
4160,2
4667,2
2002,5
3489,0
2654,1
4814,2
5015,1
5570,1
6180,0
976,8
6257,0
985,8
2161,5
3295,3
6719,0
3580,0
105,11
2024,5
6593,0
574,9
2810,4
1098,7
64,10
3751,0
4995,1
6497,0
5132,1
4021,0
866,8
626,9
5104,1
6496,0
4456,2
1058,7
4451,2
3642,3
4905,0
6266,0
973,8
4752,1
1897,1
4318,2
2840,0
4175,2
3344,3
2425,4
5203,0
2799,0
3366,3
2283,1
6334,0
2807,0
2189,5
1587,6
5328,1
4835,2
1644,2
3929,0
5889,0
5906,0
6234,0
1431,6
2690,4
2241,2
1047,7
4990,1
2125,1
744,9
5744,1
1997,5
2198,5
5839,0
1875,5
567,5
1063,7
2715,0
1086,7
4980,1
2941,
3169,0
4162,2
1205,7
3923,0
193,12
915,6
3517,3
6397,0
2332,4
1573,6
4197,2
5340,1
1337,6
5294,1
6348,0
4923,1
6144,0
2835,2
5173,1
251,9
630,6
6453,0
4987,1
3668,3
4616,2
860,3
PIT,
4145,2
1478,6
3340,3
5820,11
34,8
1800,5
1340,6
1071,7
1504,6
3227,3
3084,0
1107,7
4275,2
3437,0
6621,0
3520,0
77,12
4383,2
1211,7
4158,2
4871,0
3453,3
335,10
3438,3
3174,3
2548,4
3712,0
2714,4
4939,1
1685,3
919,8
1814,5
4050,2
5157,1
3963,0
5956,0
4975,1
1376,5
6082,0
3670,1
4650,2
1823,5
1322,3
5377,1
1143,7
1093,7
1669,1
5190,1
32,11
2012,1
646,15
4567,2
3250,3
5693,1
1656,6
3322,3
5027,1
1728,9
3597,3
238,9
3823,0
1683,6
3750,1
5329,1
1715,7
2131,5
3985,0
189,11
2435,4
543,7
1011,10
4338,2
3729,3
5466,1
4102,2
3730,3
4417,2
3167,3
3101,0
4544,2
1255,7
3093,0
3269,3
2028,5
4393,2
5021,1
4099,2
1945,5
908,8
3219,3
2452,4
5398,1
3688,3
4261,2
705,6
2952,1
2677,4
5641,1
221,12
1886,1
1520,3
4828,2
681,10
3806,0
3723,3
325,7
6461,0
4801,2
82,8
3735,3
745,12
3442,0
4531,2
4825,0
4272,2
5007,1
3483,0
3718,3
3378,3
4471,2
5069,1
6431,0
4795,0
1633,6
2374,4
1605,1
4396,2
3843,0
1230,7
4022,0
1330,3
829,8
5264,1
46,10
825,8
4628,2
1785,6
1747,6
6685,0
139,11
2781,1
6675,0
3257,3
4235,2
5436,1
1643,6
6417,0
5521,1
6732,0
6117,0
609,6
4165,2
5908,0
3363,3
4851,0
4267,2
3772,1
5885,0
2551,0
2645,4
6470,0
3223,3
155,12
951,8
1553,6
4056,2
4974,1
521,9
6433,0
1927,1
2440,0
5405,1
3816,3
926,4
1433,6
4194,2
2858,0
1750,7
3933,0
5198,1
4721,2
3797,3
510,9
6634,0
4540,2
595,9
6229,0
6692,0
6073,0
2580,4
5914,0
707,11
6051,0
1620,6
2734,0
8,11
882,5
4829,2
5115,1
1652,6
803,8
2192,5
5651,1
5303,1
2188,2
697,9
2340,4
228,13
2270,5
3279,3
3813,3
2605,0
1371,3
3263,3
6344,0
5092,1
1130,4
1067,7
4999,1
686,15
1345,6
5245,1
3692,3
5723,1
2664,2
3206,3
6217,0
340,5
3882,3
4870,0
1808,5
6641,0
3863,0
5431,1
1591,4
2235,1
2230,5
5261,1
1119,3
